Sector,Industry,Rank,Company,Revenue,Profits,Employees
Aerospace & Defense,Aerospace and Defense,45,United Technologies,61047,7608,197200
Aerospace & Defense,Aerospace and Defense,24,Boeing,96114,5176,161400
Apparel,Apparel,448,Hanesbrands,5732,429,65300
Apparel,Apparel,231,VF,12377,1232,64000
Business Services,"Advertising, marketing",186,Omnicom Group,15134,1094,74900
Business Services,"Advertising, marketing",355,Interpublic Group,7614,455,49200
Business Services,Diversified Outsourcing Services,199,Aramark,14329,236,216500
Business Services,Diversified Outsourcing Services,744,Convergys,2951,169,130000
Business Services,Education,820,Apollo Education Group,2591,30,23400
Business Services,Education,993,DeVry Education Group,1910,140,11770
Business Services,Financial Data Services,392,Fidelity National Information Services,6595,632,55000
Business Services,Financial Data Services,249,First Data,11451,-1481,24000
Business Services,Miscellaneous,734,Service Corp. International,2986,234,19720
Business Services,Miscellaneous,440,United Rentals,5817,585,12700
Business Services,Temporary Help,144,ManpowerGroup,19330,419,27000
Business Services,Temporary Help,503,Robert Half International,5095,358,16100
Business Services,Waste Management,221,Waste Management,12961,753,40600
Business Services,Waste Management,312,Republic Services,9115,750,33000
Chemicals,Chemicals,101,DuPont,27940,1953,52000
Chemicals,Chemicals,56,Dow Chemical,48778,7685,49495
Energy,Energy,384,UGI,6691,281,13570
Energy,Energy,193,NRG Energy,14674,-6382,10468
Energy,"Mining, Crude-Oil Production",175,Freeport-McMoRan,15877,-12236,34500
Energy,"Mining, Crude-Oil Production",90,ConocoPhillips,30935,-4428,15900
Energy,Miscellaneous,696,American Water Works,3159,476,6700
Energy,"Oil and Gas Equipment, Services",117,Halliburton,23633,-671,65000
Energy,"Oil and Gas Equipment, Services",192,National Oilwell Varco,14757,-769,47262
Energy,Petroleum Refining,2,Exxon Mobil,246204,16150,75600
Energy,Petroleum Refining,14,Chevron,131118,4587,61500
Energy,Pipelines,65,Energy Transfer Equity,42126,1189,30078
Energy,Pipelines,198,Kinder Morgan,14403,253,11290
Energy,Utilities: Gas and Electric,95,Exelon,29447,2269,29762
Energy,Utilities: Gas and Electric,115,Duke Energy,24002,2816,29188
Engineering & Construction,"Engineering, Construction",156,AECOM,17990,-155,92000
Engineering & Construction,"Engineering, Construction",235,Jacobs Engineering Group,12115,303,56950
Engineering & Construction,Homebuilders,301,Lennar,9474,803,7749
Engineering & Construction,Homebuilders,260,D.R. Horton,10824,751,6230
Financials,Commercial Banks,27,Wells Fargo,90033,22894,264700
Financials,Commercial Banks,23,J.P. Morgan Chase,101006,24442,234598
Financials,Diversified Financials,184,Icahn Enterprises,15272,-1194,73807
Financials,Diversified Financials,222,Marsh & McLennan,12893,1599,60000
Financials,"Insurance: Life, Health (Mutual)",82,TIAA,35181,1214,12735
Financials,"Insurance: Life, Health (Mutual)",76,Massachusetts Mutual Life Insurance,38243,1425,11593
Financials,"Insurance: Life, Health (stock)",40,MetLife,69951,5310,69000
Financials,"Insurance: Life, Health (stock)",50,Prudential Financial,57119,5642,49384
Financials,Insurance: Property and Casualty (Mutual),35,State Farm Insurance Cos.,75697,6229,70425
Financials,Insurance: Property and Casualty (Mutual),69,Nationwide,40222,581,34032
Financials,Insurance: Property and Casualty (Stock),4,Berkshire Hathaway,210821,24083,331000
Financials,Insurance: Property and Casualty (Stock),49,AIG,58327,2196,66400
Financials,Real estate,259,CBRE Group,10856,547,70000
Financials,Real estate,436,Jones Lang LaSalle,5966,439,61500
Financials,Securities,382,Jones Financial,6694,838,41000
Financials,Securities,401,Charles Schwab,6501,1447,15300
Food and Drug Stores,Food and Drug Stores,17,Kroger,109830,2039,431000
Food and Drug Stores,Food and Drug Stores,19,Walgreens Boots Alliance,103444,4220,302500
"Food, Beverages & Tobacco",Beverages,62,Coca-Cola,44294,7351,123200
"Food, Beverages & Tobacco",Beverages,413,Dr Pepper Snapple Group,6282,764,19000
"Food, Beverages & Tobacco",Food Consumer Products,44,PepsiCo,63056,5452,263000
"Food, Beverages & Tobacco",Food Consumer Products,94,Mondelez International,29636,7267,99000
"Food, Beverages & Tobacco",Food Production,66,Tyson Foods,41373,1220,113000
"Food, Beverages & Tobacco",Food Production,41,Archer Daniels Midland,67702,1849,32300
"Food, Beverages & Tobacco",Tobacco,106,Philip Morris International,26794,6873,80200
"Food, Beverages & Tobacco",Tobacco,902,Universal,2272,115,27000
Health Care,Health Care: Insurance and Managed Care,6,UnitedHealth Group,157107,5813,200000
Health Care,Health Care: Insurance and Managed Care,33,Anthem,79157,2560,53000
Health Care,Health Care: Medical Facilities,63,HCA Holdings,43591,2129,203500
Health Care,Health Care: Medical Facilities,125,Community Health Systems,22678,158,123000
Health Care,Health Care: Pharmacy and Other Services,325,Laboratory Corp. of America,8680,437,50000
Health Care,Health Care: Pharmacy and Other Services,358,Quest Diagnostics,7493,709,44000
Health Care,Medical Products and Equipment,138,Abbott Laboratories,20661,4423,74000
Health Care,Medical Products and Equipment,278,Becton Dickinson,10282,695,49517
Health Care,Pharmaceuticals,39,Johnson & Johnson,70074,15409,127100
Health Care,Pharmaceuticals,55,Pfizer,48851,6960,97900
Health Care,Wholesalers: Health Care,5,McKesson,181241,1476,70400
Health Care,Wholesalers: Health Care,21,Cardinal Health,102531,1215,34500
